Trains_2022-09-01.txt
06:06:28,E209,SHS,1
06:28:34,E209,UNI,1
06:53:30,E209,KOT,2
07:20:39,E209,UNI,1
07:57:45,E209,LMC,3
08:14:07,E209,TAW,1
08:34:48,E209,SHT,3
09:10:31,E209,FAN,1
09:35:47,E209,KOT,2
10:14:11,E209,SHT,3
10:50:43,E209,HHK,3
11:22:44,E209,TWO,2
11:53:12,E209,KOT,2
12:32:39,E209,TWO,2
13:00:05,E209,SHT,3
13:20:22,E209,TAW,2
14:00:33,E209,SHT,1
14:30:40,E209,MOK,3
15:06:15,E209,LOW,3
15:33:39,E209,TWO,1
16:04:26,E209,TAW,3
16:31:43,E209,FAN,2
16:59:32,E209,HHK,1
17:27:21,E209,LOW,3
18:08:31,E209,SHS,3
18:51:11,E209,FAN,3
19:07:35,E209,MOK,3
19:29:37,E209,HHK,1
20:09:17,E209,TWO,3
20:48:19,E209,MOK,2
21:26:32,E209,TAW,2
22:04:55,E209,MOK,3
22:39:00,E209,TAW,3
22:59:04,E209,KOT,1
23:29:41,E209,LMC,2
Trains_2022-09-02.txt
06:05:56,E209,SHS,1
06:21:34,E209,KOT,2
06:42:00,E209,LOW,2
07:13:33,E209,LMC,3
07:32:21,E209,FAN,3
07:48:25,E209,MOK,3
08:05:20,E209,KOT,2
08:26:37,E209,SHT,1
08:43:40,E209,LOW,1
09:23:32,E209,MOK,1
09:43:10,E209,HHK,1
10:15:39,E209,MOK,1
10:44:32,E209,FTR,2
11:22:42,E209,FAN,3
12:00:02,E209,TWO,2
12:21:33,E209,RAC,1
12:54:43,E209,MOK,2
13:22:26,E209,LOW,2
13:53:22,E209,SHS,1
14:19:06,E209,FAN,2
14:55:40,E209,SHT,1
15:27:13,E209,TWO,2
15:51:50,E209,RAC,1
16:25:41,E209,UNI,2
17:00:17,E209,TAP,1
17:18:02,E209,FTR,1
17:34:43,E209,UNI,1
18:01:20,E209,HHK,1
18:16:55,E209,RAC,2
18:33:49,E209,KOT,3
18:58:44,E209,TWO,1
19:27:05,E209,LMC,3
19:45:35,E209,HHK,1
20:29:56,E209,TAW,3
21:05:08,E209,TAP,1
21:30:29,E209,SHS,2
22:14:03,E209,FAN,1
22:35:47,E209,LMC,3
23:13:14,E209,HHK,1
Trains_2022-09-03.txt
Trains_2022-09-04.txt
